0.3,1,2
0.6,1.6,2
0.9,1.84,2
1.2,1.936,2
1.5,1.9744,2
1.8,1.98976,2
2.1,1.995904,2
2.4,1.998362,2
2.7,1.999345,2
3,1.999738,2
3.3,1.999895,2
3.6,1.999958,2
3.9,1.999983,2
4.2,1.999993,2
4.5,1.999997,2
4.8,1.999999,2
5.1,2,2
5.400001,2,1
5.700001,1.4,1
6.000001,1.16,1
6.300001,1.064,1
6.600001,1.0256,1
6.900002,1.01024,1
7.200002,1.004096,1
7.500002,1.001638,1
7.800002,1.000655,1
8.100002,1.000262,1
8.400002,1.000105,1
8.700003,1.000042,1
9.000003,1.000017,1
9.300003,1.000007,1
9.600003,1.000003,1
9.900003,1.000001,1
10.2,1,1
10.5,1,3
10.8,2.2,3
11.1,2.68,3
11.4,2.872,3
11.7,2.9488,3
12,2.97952,3
12.3,2.991808,3
12.60001,2.996723,3
12.90001,2.998689,3
13.20001,2.999476,3
13.50001,2.99979,3
13.80001,2.999916,3
14.10001,2.999966,3
14.40001,2.999987,3
14.70001,2.999995,3
15.00001,2.999998,3
